assembly	accession	serotype	segment	host	db_xref
GCA_038177605.1	CY087141	H1N1	1	swine	taxon:991453
GCA_038177605.1	CY087142	H1N1	2	swine	taxon:991453
GCA_038177605.1	CY085301	H1N1	3	swine	taxon:991453
GCA_038177605.1	CY085302	H1N1	4	swine	taxon:991453
GCA_038177605.1	CY085303	H1N1	5	swine	taxon:991453
GCA_038177605.1	CY085304	H1N1	6	swine	taxon:991453
GCA_038177605.1	CY085305	H1N1	7	swine	taxon:991453
GCA_038177605.1	CY085306	H1N1	8	swine	taxon:991453
GCA_038174545.1	CY025140	H7N1	1	Turkey	taxon:445370
GCA_038174545.1	CY025139	H7N1	2	Turkey	taxon:445370
GCA_038174545.1	CY025138	H7N1	3	Turkey	taxon:445370
GCA_038174545.1	CY025133	H7N1	4	Turkey	taxon:445370
GCA_038174545.1	CY025136	H7N1	5	Turkey	taxon:445370
GCA_038174545.1	CY025135	H7N1	6	Turkey	taxon:445370
GCA_038174545.1	CY025134	H7N1	7	Turkey	taxon:445370
GCA_038174545.1	CY025137	H7N1	8	Turkey	taxon:445370
GCA_038176835.1	KF493338	H7N1	1	turkey	taxon:1381305
GCA_038176835.1	KF493344	H7N1	2	turkey	taxon:1381305
GCA_038176835.1	KF493350	H7N1	3	turkey	taxon:1381305
GCA_038176835.1	KF493331	H7N1	4	turkey	taxon:1381305
GCA_038176835.1	KF493356	H7N1	5	turkey	taxon:1381305
GCA_038176835.1	KF493362	H7N1	6	turkey	taxon:1381305
GCA_038176835.1	KF493368	H7N1	7	turkey	taxon:1381305
GCA_038176835.1	KF493374	H7N1	8	turkey	taxon:1381305
GCA_038268855.1	CY109287	H6N2	1	duck	taxon:1149354
GCA_038268855.1	CY109288	H6N2	2	duck	taxon:1149354
GCA_038268855.1	CY109289	H6N2	3	duck	taxon:1149354
GCA_038268855.1	CY109290	H6N2	4	duck	taxon:1149354
GCA_038268855.1	CY109291	H6N2	5	duck	taxon:1149354
GCA_038268855.1	CY109292	H6N2	6	duck	taxon:1149354
GCA_038268855.1	CY109293	H6N2	7	duck	taxon:1149354
GCA_038268855.1	CY109294	H6N2	8	duck	taxon:1149354
GCA_038242245.1	CY040321	H3N2	1	Human	taxon:586176
GCA_038242245.1	CY040320	H3N2	2	Human	taxon:586176
GCA_038242245.1	CY040319	H3N2	3	Human	taxon:586176
GCA_038242245.1	CY040314	H3N2	4	Human	taxon:586176
GCA_038242245.1	CY040317	H3N2	5	Human	taxon:586176
GCA_038242245.1	CY040316	H3N2	6	Human	taxon:586176
GCA_038242245.1	CY040315	H3N2	7	Human	taxon:586176
GCA_038242245.1	CY040318	H3N2	8	Human	taxon:586176
GCA_038240785.1	CY038670	H3N2	1	Human	taxon:586175
GCA_038240785.1	CY038669	H3N2	2	Human	taxon:586175
GCA_038240785.1	CY038668	H3N2	3	Human	taxon:586175
GCA_038240785.1	CY038663	H3N2	4	Human	taxon:586175
GCA_038240785.1	CY038666	H3N2	5	Human	taxon:586175
GCA_038240785.1	CY038665	H3N2	6	Human	taxon:586175
GCA_038240785.1	CY038664	H3N2	7	Human	taxon:586175
GCA_038240785.1	CY038667	H3N2	8	Human	taxon:586175
GCA_038165525.1	CY116393	H1N1	1	swine	taxon:1176045
GCA_038165525.1	CY116394	H1N1	2	swine	taxon:1176045
GCA_038165525.1	CY116395	H1N1	3	swine	taxon:1176045
